,id,price,city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,host_response_time,host_since,cancellation_policy,neighbourhood_cleansed,air_con,check_in,cooking,childcare,entertainment,luxury,nature,clothing,accessibility,safety,internet,comfort,essentials,pet_friendly,smoking
6441,38935611,49.0,Singapore,103.86180999999999,1.30958,,0,18,0.0,15.0,1,3.0,1.0,1.0,apartment,Private room,365,0,0,4.0,2013-09-20,2,Kallang,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
6442,38937204,148.0,Singapore,103.88728,1.31189,20.0,1,3,0.0,30.0,4,1.0,2.0,2.0,apartment,Entire home/apt,343,0,0,4.0,2019-01-06,2,Geylang,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6443,38943092,34.0,Singapore,103.75027,1.3789,,0,90,0.0,0.0,2,1.0,1.0,1.0,apartment,Private room,0,1,0,0.0,2011-12-26,3,Choa Chu Kang,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
6444,38951604,140.0,Singapore,103.85006,1.28983,100.0,3,1,209.0,0.0,3,1.0,1.0,2.0,apartment,Private room,90,0,1,4.0,2014-08-30,2,Downtown Core,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6445,38961084,259.0,Singapore,103.88708000000001,1.3112700000000002,,0,5,300.0,30.0,7,2.0,3.0,,apartment,Entire home/apt,365,0,0,4.0,2015-03-16,2,Geylang,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6446,38965851,154.0,Singapore,103.84985,1.2897100000000001,95.0,4,1,181.0,0.0,6,1.0,1.0,4.0,apartment,Private room,90,0,1,4.0,2014-08-30,2,Downtown Core,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6447,38966652,95.0,Singapore,103.86301,1.35522,89.0,8,1,0.0,0.0,2,1.5,1.0,2.0,house,Private room,42,0,0,4.0,2016-11-18,3,Serangoon,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
6448,38975336,250.0,Singapore,103.84678000000001,1.2748,100.0,1,1,250.0,120.0,4,1.0,1.0,3.0,house,Private room,364,0,1,4.0,2017-11-25,2,Downtown Core,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6449,38983816,66.0,Singapore,103.89251,1.31449,,0,14,200.0,50.0,2,1.5,1.0,1.0,apartment,Private room,304,0,0,3.0,2013-08-16,2,Geylang,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
6450,38984832,228.0,Singapore,103.86409,1.3279299999999998,80.0,2,3,0.0,25.0,5,1.0,2.0,1.0,apartment,Entire home/apt,181,0,0,4.0,2013-08-28,2,Kallang,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
